/out X,/out Y,/in X,/in Y
2.106834348387427e-08,1.096938864185908,2.106834348387427e-08,1.1
2.184517712783675e-08,1.098014835769973,2.184517712783675e-08,1.1
2.264396675035506e-08,1.098738727980188,2.264396675035506e-08,1.1
2.348052221726741e-08,1.09921556836916,2.348052221726741e-08,1.1
2.438529067871763e-08,1.099519969980568,2.438529067871763e-08,1.1
2.538492304322948e-08,1.099696739976255,2.538492304322948e-08,1.1
2.65205469028864e-08,1.099778172605699,2.65205469028864e-08,1.1
2.784754200587638e-08,1.099787172528471,2.784754200587638e-08,1.1
2.944720884187834e-08,1.099741629500115,2.944720884187834e-08,1.1
3.143237589681163e-08,1.099657688018574,3.143237589681163e-08,1.1
3.39462650594015e-08,1.099553054064651,3.39462650594015e-08,1.1
3.574153549734262e-08,1.099489203077693,3.574153549734262e-08,1.1
3.933207637322485e-08,1.099395468654719,3.933207637322485e-08,1.1
4.192881498408812e-08,1.099351199757118,4.192881498408812e-08,1.1
4.440687596896237e-08,1.099322415599918,4.440687596896237e-08,1.1
4.745791270819728e-08,1.099298939167635,4.745791270819728e-08,1.1
5.105476922324215e-08,1.099281925034908,5.105476922324215e-08,1.1
5.535895562474561e-08,1.099270365622476,5.535895562474561e-08,1.1
6.075915955239474e-08,1.099262948636621,6.075915955239474e-08,1.1
6.777075178530516e-08,1.099258706097979,6.777075178530516e-08,1.1
7.725929979231645e-08,1.099256659615109,7.725929979231645e-08,1.1
9.084269309241488e-08,1.099255902320191,9.084269309241488e-08,1.1
1.108426930924149e-07,1.099255762039246,1.108426930924149e-07,1.1
1.308426930924149e-07,1.099255835063377,1.308426930924149e-07,1.1
1.508426930924149e-07,1.099255905488804,1.508426930924149e-07,1.1
1.708426930924149e-07,1.099255945942957,1.708426930924149e-07,1.1
1.908426930924148e-07,1.099255964251043,1.908426930924148e-07,1.1
2.108426930924148e-07,1.099255970570041,2.108426930924148e-07,1.1
2.308426930924148e-07,1.099255971789282,2.308426930924148e-07,1.1
2.508426930924149e-07,1.099255971472531,2.508426930924149e-07,1.1
2.708426930924149e-07,1.099255971009509,2.708426930924149e-07,1.1
2.908426930924149e-07,1.099255970735951,2.908426930924149e-07,1.1
3.108426930924149e-07,1.099255970626573,3.108426930924149e-07,1.1
3.308426930924149e-07,1.099255970598939,3.308426930924149e-07,1.1
3.50842693092415e-07,1.099255970599086,3.50842693092415e-07,1.1
3.70842693092415e-07,1.099255970604055,3.70842693092415e-07,1.1
3.90842693092415e-07,1.099255970607479,3.90842693092415e-07,1.1
