/out X,/out Y,/in X,/in Y
1.010005089532695e-06,1.008621890597811,1.010005089532695e-06,1.050895326953521
1.010006103171906e-06,1.010538160506331,1.010006103171906e-06,1.061031719059818
1.010008130450327e-06,1.014341872069188,1.010008130450327e-06,1.081304503272411
1.01001e-06,1.017811439684014,1.01001e-06,1.1
1.010010165778105e-06,1.017871455423187,1.010010165778105e-06,1.1
1.010010342766893e-06,1.017933224485593,1.010010342766893e-06,1.1
1.010010530601957e-06,1.017978821860162,1.010010530601957e-06,1.1
1.010010752312663e-06,1.018007998652847,1.010010752312663e-06,1.1
1.010010929715249e-06,1.018018024050183,1.010010929715249e-06,1.1
1.01001114365803e-06,1.018021333113637,1.01001114365803e-06,1.1
1.010011438970017e-06,1.018018260868457,1.010011438970017e-06,1.1
1.010011902385579e-06,1.018006644158797,1.010011902385579e-06,1.1
1.010012698183585e-06,1.017982012463617,1.010012698183585e-06,1.1
1.010014107248675e-06,1.01793732654108,1.010014107248675e-06,1.1
1.01001674746042e-06,1.017855049812121,1.01001674746042e-06,1.1
1.010022027883909e-06,1.017692712475632,1.010022027883909e-06,1.1
1.010032588730888e-06,1.01737360637558,1.010032588730888e-06,1.1
1.010053710424846e-06,1.01675699990038,1.010053710424846e-06,1.1
1.010095953812762e-06,1.015606467388734,1.010095953812762e-06,1.1
1.010180440588593e-06,1.013606643438435,1.010180440588593e-06,1.1
1.010287176250341e-06,1.011584611922035,1.010287176250341e-06,1.1
1.010399506151664e-06,1.009976107900188,1.010399506151664e-06,1.1
1.010521066804527e-06,1.008735644649514,1.010521066804527e-06,1.1
1.010655702312334e-06,1.00786005813093,1.010655702312334e-06,1.1
1.01080294302162e-06,1.007391705808255,1.01080294302162e-06,1.1
1.010967887049561e-06,1.007359824842882,1.010967887049561e-06,1.1
1.011157151418859e-06,1.007843567246206,1.011157151418859e-06,1.1
1.011380527051285e-06,1.008994501994184,1.011380527051285e-06,1.1
1.011616576148471e-06,1.010771821022548,1.011616576148471e-06,1.1
1.011839325328479e-06,1.012891122158371,1.011839325328479e-06,1.1
1.012062283407525e-06,1.015372106758612,1.012062283407525e-06,1.1
1.012293111340756e-06,1.018256096537274,1.012293111340756e-06,1.1
1.012537735190114e-06,1.021597690402124,1.012537735190114e-06,1.1
1.01280270771806e-06,1.02547515216358,1.01280270771806e-06,1.1
1.013093071868829e-06,1.029944910626587,1.013093071868829e-06,1.1
1.013411190493288e-06,1.035001981237891,1.013411190493288e-06,1.1
1.013742346351142e-06,1.040332160288574,1.013742346351142e-06,1.1
1.014085198981531e-06,1.045808100775737,1.014085198981531e-06,1.1
1.014439960962497e-06,1.051319933130392,1.014439960962497e-06,1.1
1.014807373206357e-06,1.056763935225356,1.014807373206357e-06,1.1
1.015190139377737e-06,1.062064932545127,1.015190139377737e-06,1.1
1.015592653534327e-06,1.067166450585107,1.015592653534327e-06,1.1
1.016022077976783e-06,1.072034124396508,1.016022077976783e-06,1.1
1.016490498240816e-06,1.076659309515577,1.016490498240816e-06,1.1
