/out X,/out Y
2.002035177968533e-10,2.033031662753174
2.013609960885266e-10,2.033031662803487
2.024431942176608e-10,2.033031662857591
2.036753349741212e-10,2.033031662925826
2.056609755797889e-10,2.033031663046383
2.072347861518493e-10,2.033031663148499
2.085520581165575e-10,2.033031663236484
2.100950759643921e-10,2.033031663340808
2.120975981326871e-10,2.033031663475627
2.138995452138325e-10,2.033031663594449
2.155136634987554e-10,2.033031663697594
2.172559442393078e-10,2.033031663804309
2.194083007737255e-10,2.033031663928259
2.213652684352861e-10,2.033031664032637
2.234944687856643e-10,2.033031664136616
2.26118016332555e-10,2.033031664250597
2.286327551978198e-10,2.033031664345221
2.310205981032733e-10,2.033031664422108
2.333237632644624e-10,2.033031664484763
2.355601284803962e-10,2.033031664535337
2.377193472831208e-10,2.03303166457514
2.398154837695637e-10,2.033031664605862
2.418505556441513e-10,2.033031664628762
2.438292497990357e-10,2.033031664644982
2.457507987417935e-10,2.033031664655483
2.476069417459044e-10,2.03303166466112
2.493834029706698e-10,2.033031664662713
2.510659633286202e-10,2.033031664661085
2.526452326232497e-10,2.033031664657014
2.541269320944377e-10,2.033031664651142
2.555443675000037e-10,2.033031664643822
2.569727990382893e-10,2.033031664634902
2.585414710785544e-10,2.033031664623489
2.604932951288126e-10,2.033031664607179
2.620785633710583e-10,2.033031664592389
2.633107867620241e-10,2.033031664580034
2.644707532844287e-10,2.033031664567785
2.656732997416805e-10,2.033031664554517
2.669402365586759e-10,2.033031664539981
2.682380065851073e-10,2.033031664524561
2.695915087985376e-10,2.033031664507978
2.710327735369967e-10,2.033031664489824
2.725833306264643e-10,2.033031664469835
2.742609598313107e-10,2.033031664447762
2.760832723864536e-10,2.033031664423379
2.777606405297731e-10,2.03303166440065
2.790044428258527e-10,2.033031664383676
2.799870587632856e-10,2.033031664370224
2.809745433956274e-10,2.033031664356686
2.8208687894372e-10,2.033031664341433
2.830007378194286e-10,2.033031664328911
2.837672852312795e-10,2.033031664318424
2.845661561985403e-10,2.033031664307516
2.854607619100912e-10,2.033031664295335
2.864466622431737e-10,2.033031664281966
2.875756030882476e-10,2.03303166426674
2.889562986334352e-10,2.033031664248259
2.904675072812969e-10,2.033031664228238
2.92156728760018e-10,2.03303166420615
2.94007128778451e-10,2.033031664182354
2.956779063747672e-10,2.03303166416126
2.969502197954774e-10,2.033031664145464
2.980982918899403e-10,2.033031664131417
2.992131641402711e-10,2.033031664117978
3.00329451183659e-10,2.033031664104723
3.014781188627688e-10,2.033031664091304
3.026645752388926e-10,2.033031664077678
3.03883097694844e-10,2.033031664063945
3.051261441494058e-10,2.033031664050208
3.063879532700581e-10,2.033031664036554
3.076684785494208e-10,2.033031664022996
3.089747441895469e-10,2.033031664009485
3.103157652790062e-10,2.033031663995947
3.116819682186441e-10,2.033031663982509
3.129845153579631e-10,2.033031663970027
3.142939893041781e-10,2.03303166395781
3.15565193134276e-10,2.033031663946261
3.168161244865107e-10,2.033031663935202
3.180560919093399e-10,2.033031663924532
3.192853170594539e-10,2.033031663913246
3.205002414246892e-10,2.033031663903429
3.217619748745407e-10,2.033031663893533
3.229238950528161e-10,2.033031663884684
3.239860717726304e-10,2.033031663876814
3.250268671563896e-10,2.033031663868496
3.261187320950834e-10,2.033031663860883
3.271140197368203e-10,2.033031663854131
3.279805940980864e-10,2.033031663848391
3.290048363260936e-10,2.033031663841778
3.301346644638126e-10,2.033031663834694
3.312746909637752e-10,2.033031663827761
3.323418442186919e-10,2.033031663821471
3.332661896026546e-10,2.033031663816176
3.340362958289134e-10,2.033031663811867
3.346804142810415e-10,2.033031663808336
3.352417064433423e-10,2.033031663805313
3.357738180872975e-10,2.033031663802492
3.363704175599831e-10,2.033031663799378
3.368691892385967e-10,2.033031663796813
3.374067642720408e-10,2.033031663794085
3.379132406581486e-10,2.033031663791549
3.384354549920702e-10,2.033031663788966
3.390320788727516e-10,2.03303166378605
3.397333477564198e-10,2.033031663782662
